Selection,T
Cross Over,RIC
Mutation,SPSM
Cross Over Rate,1
Mutation Rate,1
Population Size,24
Generation Size,75000
Number Of Runs,5



Generation #,Run-1,Run-2,Run-3,Run-4,Run-5
0,1461,1477,1477,1505,1415
500,1383,1340,1371,1334,1347
1000,1383,1340,1371,1334,1347
1500,1354,1339,1366,1334,1330
2000,1354,1339,1360,1334,1330
2500,1354,1333,1348,1334,1330
3000,1354,1333,1348,1334,1330
3500,1354,1333,1348,1334,1330
4000,1350,1333,1348,1334,1330
4500,1350,1333,1348,1334,1330
5000,1350,1333,1348,1334,1330
5500,1350,1333,1347,1334,1330
6000,1350,1333,1347,1334,1330
6500,1350,1333,1347,1334,1330
7000,1350,1333,1316,1334,1330
7500,1340,1333,1316,1334,1330
8000,1340,1333,1316,1334,1330
8500,1340,1333,1316,1334,1330
9000,1340,1333,1316,1334,1330
9500,1340,1333,1316,1334,1330
10000,1340,1333,1316,1334,1330
10500,1340,1333,1316,1334,1330
11000,1340,1333,1316,1334,1330
11500,1340,1333,1316,1334,1330
12000,1340,1333,1316,1334,1330
12500,1340,1333,1316,1334,1330
13000,1340,1333,1316,1334,1330
13500,1340,1333,1316,1333,1330
14000,1340,1333,1316,1325,1330
14500,1340,1333,1316,1325,1330
15000,1340,1333,1316,1325,1330
15500,1340,1333,1316,1325,1330
16000,1340,1333,1316,1325,1330
16500,1340,1333,1316,1325,1330
17000,1340,1333,1316,1325,1330
17500,1340,1333,1316,1325,1327
18000,1340,1333,1316,1325,1327
18500,1340,1333,1316,1325,1327
19000,1340,1333,1316,1325,1327
19500,1329,1333,1316,1325,1327
20000,1329,1333,1316,1325,1327
20500,1329,1333,1316,1325,1327
21000,1329,1333,1316,1325,1327
21500,1329,1333,1316,1325,1327
22000,1329,1333,1316,1325,1327
22500,1329,1333,1316,1325,1327
23000,1329,1333,1316,1325,1327
23500,1329,1333,1316,1325,1323
24000,1329,1333,1316,1325,1323
24500,1329,1333,1316,1325,1309
25000,1329,1333,1316,1325,1309
25500,1329,1333,1316,1325,1309
26000,1329,1333,1316,1325,1309
26500,1329,1333,1316,1325,1309
27000,1329,1333,1316,1325,1309
27500,1329,1333,1316,1325,1309
28000,1329,1333,1316,1325,1309
28500,1329,1333,1316,1325,1309
29000,1329,1333,1316,1325,1309
29500,1329,1333,1316,1325,1309
30000,1329,1333,1316,1325,1309
30500,1329,1333,1316,1325,1309
31000,1329,1333,1316,1325,1309
31500,1329,1333,1316,1325,1309
32000,1329,1333,1316,1325,1309
32500,1329,1333,1316,1325,1309
33000,1329,1333,1316,1325,1309
33500,1329,1333,1316,1325,1309
34000,1329,1333,1316,1325,1309
34500,1329,1333,1316,1325,1309
35000,1329,1333,1316,1325,1309
35500,1329,1333,1316,1325,1309
36000,1329,1333,1316,1325,1309
36500,1329,1333,1316,1325,1309
37000,1329,1333,1316,1325,1309
37500,1329,1333,1316,1325,1309
38000,1329,1315,1316,1325,1309
38500,1329,1315,1316,1325,1309
39000,1329,1315,1316,1325,1309
39500,1329,1315,1316,1325,1309
40000,1329,1315,1316,1325,1309
40500,1329,1315,1316,1325,1309
41000,1329,1315,1316,1325,1309
41500,1329,1315,1316,1325,1309
42000,1329,1315,1316,1325,1309
42500,1329,1315,1316,1325,1309
43000,1326,1315,1316,1325,1309
43500,1326,1315,1316,1325,1309
44000,1326,1315,1316,1325,1309
44500,1326,1315,1316,1325,1309
45000,1326,1315,1316,1325,1309
45500,1326,1315,1316,1325,1309
46000,1326,1315,1316,1325,1309
46500,1326,1315,1316,1325,1309
47000,1326,1315,1316,1325,1309
47500,1326,1315,1316,1325,1309
48000,1326,1315,1316,1325,1309
48500,1326,1315,1316,1325,1309
49000,1326,1315,1316,1325,1309
49500,1326,1315,1316,1325,1309
50000,1326,1315,1316,1325,1309
50500,1326,1315,1316,1325,1309
51000,1326,1315,1316,1325,1309
51500,1326,1315,1316,1325,1309
52000,1326,1315,1316,1325,1309
52500,1326,1315,1316,1325,1309
53000,1326,1315,1316,1325,1309
53500,1326,1315,1316,1325,1309
54000,1326,1315,1316,1325,1309
54500,1326,1315,1316,1325,1309
55000,1326,1315,1316,1325,1309
55500,1326,1315,1316,1325,1309
56000,1326,1315,1316,1325,1309
56500,1326,1315,1316,1325,1309
57000,1326,1315,1316,1325,1309
57500,1326,1315,1316,1325,1309
58000,1326,1315,1316,1325,1309
58500,1326,1315,1316,1325,1309
59000,1326,1315,1316,1325,1309
59500,1326,1315,1316,1325,1309
60000,1326,1315,1316,1325,1309
60500,1326,1315,1316,1311,1309
61000,1326,1315,1316,1311,1309
61500,1326,1315,1316,1311,1309
62000,1326,1315,1316,1311,1309
62500,1326,1315,1316,1311,1309
63000,1326,1315,1316,1311,1309
63500,1326,1315,1316,1311,1309
64000,1326,1315,1316,1311,1309
64500,1326,1315,1316,1311,1309
65000,1326,1315,1316,1311,1309
65500,1326,1315,1316,1311,1309
66000,1326,1315,1316,1311,1309
66500,1326,1315,1316,1311,1309
67000,1326,1315,1316,1311,1309
67500,1326,1315,1316,1311,1309
68000,1326,1315,1316,1311,1309
68500,1326,1315,1316,1311,1309
69000,1326,1315,1316,1311,1309
69500,1326,1315,1316,1311,1309
70000,1326,1315,1316,1311,1309
70500,1326,1315,1316,1311,1309
71000,1326,1315,1316,1311,1309
71500,1326,1315,1316,1311,1309
72000,1326,1315,1316,1311,1309
72500,1326,1315,1316,1311,1309
73000,1326,1315,1316,1311,1309
73500,1326,1315,1316,1311,1309
74000,1326,1315,1316,1311,1309
74500,1326,1315,1316,1311,1309
