Selection,T
Cross Over,RIUC
Mutation,SM
Cross Over Rate,1
Mutation Rate,1
Population Size,24
Generation Size,75000
Number Of Runs,5



Generation #,Run-1,Run-2,Run-3,Run-4,Run-5
0,1494,1449,1473,1486,1467
500,1388,1354,1356,1363,1393
1000,1354,1354,1353,1349,1371
1500,1354,1354,1347,1345,1341
2000,1354,1354,1347,1334,1341
2500,1354,1354,1335,1334,1341
3000,1354,1354,1335,1334,1341
3500,1354,1354,1335,1334,1341
4000,1354,1345,1335,1334,1287
4500,1354,1345,1335,1334,1287
5000,1354,1345,1335,1334,1287
5500,1354,1345,1335,1334,1287
6000,1354,1345,1335,1334,1287
6500,1354,1345,1335,1334,1287
7000,1354,1345,1335,1334,1287
7500,1354,1345,1335,1334,1287
8000,1354,1345,1335,1334,1287
8500,1354,1345,1335,1334,1287
9000,1354,1345,1335,1334,1287
9500,1354,1345,1335,1334,1287
10000,1354,1345,1335,1334,1287
10500,1354,1345,1335,1334,1287
11000,1354,1345,1335,1334,1287
11500,1354,1345,1335,1334,1287
12000,1354,1345,1335,1334,1287
12500,1354,1345,1335,1334,1287
13000,1354,1341,1335,1334,1287
13500,1354,1341,1335,1334,1287
14000,1354,1341,1335,1334,1287
14500,1354,1341,1335,1334,1287
15000,1354,1341,1335,1334,1287
15500,1354,1341,1335,1334,1287
16000,1354,1341,1335,1334,1287
16500,1354,1341,1335,1334,1287
17000,1354,1341,1335,1334,1287
17500,1353,1337,1335,1334,1287
18000,1342,1337,1335,1334,1287
18500,1342,1337,1335,1334,1287
19000,1342,1337,1335,1334,1287
19500,1342,1337,1335,1334,1287
20000,1342,1337,1335,1334,1287
20500,1342,1337,1335,1334,1287
21000,1342,1337,1335,1334,1287
21500,1342,1337,1335,1334,1287
22000,1320,1337,1335,1334,1287
22500,1320,1337,1335,1334,1287
23000,1320,1337,1335,1334,1287
23500,1320,1337,1335,1334,1287
24000,1320,1337,1335,1334,1287
24500,1320,1337,1335,1334,1287
25000,1320,1337,1335,1334,1287
25500,1320,1337,1335,1334,1287
26000,1320,1337,1335,1334,1287
26500,1320,1337,1335,1334,1287
27000,1320,1337,1335,1334,1287
27500,1320,1337,1335,1334,1287
28000,1320,1337,1334,1334,1287
28500,1320,1337,1334,1334,1287
29000,1320,1337,1334,1334,1287
29500,1320,1337,1334,1334,1287
30000,1320,1337,1334,1334,1287
30500,1320,1337,1334,1334,1287
31000,1320,1337,1334,1334,1287
31500,1320,1337,1334,1334,1287
32000,1320,1337,1334,1334,1287
32500,1320,1337,1334,1334,1287
33000,1320,1337,1334,1334,1287
33500,1320,1337,1334,1334,1287
34000,1320,1337,1334,1334,1287
34500,1320,1337,1334,1334,1287
35000,1318,1337,1334,1334,1287
35500,1318,1337,1334,1334,1287
36000,1318,1337,1334,1334,1287
36500,1318,1337,1334,1334,1287
37000,1318,1337,1334,1334,1287
37500,1318,1337,1334,1334,1287
38000,1318,1337,1334,1334,1287
38500,1318,1337,1334,1334,1287
39000,1318,1337,1334,1334,1287
39500,1318,1337,1312,1334,1287
40000,1318,1337,1312,1334,1287
40500,1318,1337,1312,1334,1287
41000,1318,1337,1312,1334,1287
41500,1318,1337,1312,1334,1287
42000,1318,1337,1312,1334,1287
42500,1318,1337,1312,1334,1287
43000,1318,1337,1312,1334,1287
43500,1318,1337,1312,1334,1287
44000,1318,1337,1312,1334,1287
44500,1318,1337,1312,1334,1287
45000,1318,1337,1312,1317,1287
45500,1318,1337,1312,1317,1287
46000,1318,1337,1312,1317,1287
46500,1318,1314,1312,1317,1287
47000,1318,1314,1312,1317,1287
47500,1318,1314,1312,1317,1287
48000,1318,1314,1312,1317,1287
48500,1318,1314,1312,1317,1287
49000,1318,1314,1312,1317,1287
49500,1318,1314,1312,1317,1287
50000,1318,1311,1312,1317,1287
50500,1318,1311,1312,1317,1287
51000,1318,1311,1312,1317,1287
51500,1318,1311,1312,1317,1287
52000,1318,1311,1312,1317,1287
52500,1318,1311,1312,1317,1287
53000,1318,1311,1312,1317,1287
53500,1318,1311,1312,1317,1287
54000,1318,1311,1312,1317,1287
54500,1317,1311,1312,1317,1287
55000,1317,1311,1312,1317,1287
55500,1317,1311,1312,1317,1287
56000,1317,1311,1312,1317,1287
56500,1317,1311,1312,1317,1287
57000,1317,1311,1312,1317,1287
57500,1317,1311,1312,1317,1287
58000,1317,1311,1312,1317,1287
58500,1317,1311,1312,1317,1287
59000,1317,1311,1312,1317,1287
59500,1317,1311,1312,1317,1287
60000,1317,1311,1312,1317,1287
60500,1317,1311,1312,1317,1287
61000,1317,1311,1312,1317,1287
61500,1317,1311,1312,1317,1287
62000,1317,1311,1312,1317,1287
62500,1317,1311,1312,1317,1287
63000,1317,1311,1312,1317,1287
63500,1317,1311,1312,1317,1287
64000,1317,1311,1312,1317,1287
64500,1317,1311,1312,1317,1287
65000,1317,1311,1312,1317,1287
65500,1317,1311,1312,1317,1287
66000,1317,1311,1312,1317,1287
66500,1317,1311,1312,1317,1287
67000,1317,1311,1312,1317,1287
67500,1317,1311,1312,1317,1287
68000,1317,1311,1312,1317,1287
68500,1317,1311,1312,1317,1287
69000,1317,1311,1312,1317,1287
69500,1317,1311,1312,1317,1287
70000,1317,1311,1312,1317,1287
70500,1317,1311,1312,1317,1287
71000,1317,1311,1312,1317,1287
71500,1317,1311,1312,1317,1287
72000,1317,1311,1312,1317,1287
72500,1317,1311,1312,1317,1287
73000,1317,1311,1312,1317,1287
73500,1317,1311,1312,1317,1287
74000,1317,1311,1312,1317,1287
74500,1317,1311,1312,1317,1287
